NUMBER,SID,ISO_TIME,STEP,LAT,LON,WMO_WIND,WMO_PRES,BASIN,SUBBASIN
1,1980076N06148,1980-03-16 00:00:00,0,6.0,147.8,,,Western North Pacific,Missing
1,1980076N06148,1980-03-16 06:00:00,1,6.1,147.2,,,Western North Pacific,Missing
1,1980076N06148,1980-03-16 12:00:00,2,6.1,146.8,,,Western North Pacific,Missing
1,1980076N06148,1980-03-16 18:00:00,3,6.0,146.5,,,Western North Pacific,Missing
1,1980076N06148,1980-03-17 00:00:00,4,6.0,146.0,,,Western North Pacific,Missing
1,1980076N06148,1980-03-17 06:00:00,5,6.0,144.9,,,Western North Pacific,Missing
1,1980076N06148,1980-03-17 12:00:00,6,6.1,143.5,,,Western North Pacific,Missing
1,1980076N06148,1980-03-17 18:00:00,7,6.6,142.1,,,Western North Pacific,Missing
1,1980076N06148,1980-03-18 00:00:00,8,7.1,140.9,,,Western North Pacific,Missing
1,1980076N06148,1980-03-18 06:00:00,9,7.3,140.3,,,Western North Pacific,Missing
1,1980076N06148,1980-03-18 12:00:00,10,7.9,139.6,,,Western North Pacific,Missing
1,1980076N06148,1980-03-18 18:00:00,11,8.3,138.9,,,Western North Pacific,Missing
1,1980076N06148,1980-03-19 00:00:00,12,8.7,138.2,,,Western North Pacific,Missing
1,1980076N06148,1980-03-19 06:00:00,13,8.8,137.7,,,Western North Pacific,Missing
1,1980076N06148,1980-03-19 12:00:00,14,9.0,137.2,,,Western North Pacific,Missing
1,1980076N06148,1980-03-19 18:00:00,15,9.0,136.6,,,Western North Pacific,Missing
1,1980076N06148,1980-03-20 00:00:00,16,9.0,136.2,,,Western North Pacific,Missing
1,1980076N06148,1980-03-20 06:00:00,17,9.0,135.6,,,Western North Pacific,Missing
1,1980076N06148,1980-03-20 12:00:00,18,9.0,135.1,,,Western North Pacific,Missing
1,1980076N06148,1980-03-20 18:00:00,19,9.1,134.6,,,Western North Pacific,Missing
1,1980076N06148,1980-03-21 00:00:00,20,9.2,134.1,,,Western North Pacific,Missing
1,1980076N06148,1980-03-21 06:00:00,21,9.3,133.4,,,Western North Pacific,Missing
1,1980076N06148,1980-03-21 12:00:00,22,9.4,132.3,,,Western North Pacific,Missing
1,1980076N06148,1980-03-21 18:00:00,23,10.0,131.0,,,Western North Pacific,Missing
1,1980076N06148,1980-03-22 00:00:00,24,10.4,129.9,,,Western North Pacific,Missing
1,1980076N06148,1980-03-22 06:00:00,25,10.6,129.3,,,Western North Pacific,Missing
1,1980076N06148,1980-03-22 12:00:00,26,10.8,128.7,,,Western North Pacific,Missing
1,1980076N06148,1980-03-22 18:00:00,27,10.9,128.1,,,Western North Pacific,Missing
1,1980076N06148,1980-03-23 00:00:00,28,11.2,127.5,,,Western North Pacific,Missing
1,1980076N06148,1980-03-23 06:00:00,29,11.5,126.7,,,Western North Pacific,Missing
1,1980076N06148,1980-03-23 12:00:00,30,11.9,125.8,,,Western North Pacific,Missing
1,1980076N06148,1980-03-23 18:00:00,31,12.3,124.8,,,Western North Pacific,Missing
1,1980076N06148,1980-03-24 00:00:00,32,12.8,123.8,,,Western North Pacific,Missing
1,1980076N06148,1980-03-24 06:00:00,33,13.3,122.7,,,Western North Pacific,Missing
1,1980076N06148,1980-03-24 12:00:00,34,13.5,121.9,,,Western North Pacific,Missing
1,1980076N06148,1980-03-24 18:00:00,35,13.7,121.2,,,Western North Pacific,Missing
1,1980076N06148,1980-03-25 00:00:00,36,13.7,120.6,,,Western North Pacific,Missing
1,1980076N06148,1980-03-25 06:00:00,37,13.5,120.0,,,Western North Pacific,Missing
1,1980076N06148,1980-03-25 12:00:00,38,13.3,119.3,,,Western North Pacific,Missing
1,1980076N06148,1980-03-25 18:00:00,39,13.0,118.6,,,Western North Pacific,Missing
1,1980076N06148,1980-03-26 00:00:00,40,12.8,117.9,,,Western North Pacific,Missing
1,1980076N06148,1980-03-26 06:00:00,41,12.7,117.3,,,Western North Pacific,Missing
1,1980076N06148,1980-03-26 12:00:00,42,12.5,116.7,,,Western North Pacific,Missing
1,1980076N06148,1980-03-26 18:00:00,43,12.4,116.0,,,Western North Pacific,Missing
1,1980076N06148,1980-03-27 00:00:00,44,12.2,115.2,,,Western North Pacific,Missing
1,1980076N06148,1980-03-27 06:00:00,45,12.1,114.4,,,Western North Pacific,Missing
1,1980076N06148,1980-03-27 12:00:00,46,12.0,113.5,,,Western North Pacific,Missing
1,1980076N06148,1980-03-27 18:00:00,47,11.8,112.6,,,Western North Pacific,Missing
1,1980076N06148,1980-03-28 00:00:00,48,11.5,111.6,,,Western North Pacific,Missing
1,1980076N06148,1980-03-28 06:00:00,49,11.5,110.5,,,Western North Pacific,Missing
1,1980076N06148,1980-03-28 12:00:00,50,11.5,109.5,,,Western North Pacific,Missing
1,1980076N06148,1980-03-28 18:00:00,51,11.6,108.6,,,Western North Pacific,Missing
1,1980076N06148,1980-03-29 00:00:00,52,11.7,107.8,,,Western North Pacific,Missing
1,1980076N06148,1980-03-29 06:00:00,53,10.4,109.6,,,Western North Pacific,Missing
2,1980126N08150,1980-05-05 00:00:00,0,8.1,150.1,,,Western North Pacific,Missing
2,1980126N08150,1980-05-05 06:00:00,1,8.1,149.3,,,Western North Pacific,Missing
2,1980126N08150,1980-05-05 12:00:00,2,8.1,148.5,,,Western North Pacific,Missing
2,1980126N08150,1980-05-05 18:00:00,3,8.0,147.7,,,Western North Pacific,Missing
